d,g50,g1M
10,-0.7692989826796143,-0.7692989826796143
10,-0.7710154037965862,-0.7710154037965862
10,-0.6734157389409352,-0.6734157389409352
10,-0.6672150201877238,-0.6672150201877238
10,-0.7007807186313666,-0.7007807186313666
10,-0.6767813054969847,-0.6767813054969847
10,-0.7831625098537157,-0.7831625098537157
10,-0.8010185248817161,-0.8010185248817161
10,-0.7909199597973708,-0.7909199597973708
10,-0.8312675910597229,-0.8312675910597229
10,-0.7830464676263357,-0.7830464676263357
10,-0.7988253177080293,-0.7988253177080293
10,-0.6126711634487858,-0.6126711634487858
10,-0.625390617822423,-0.625390617822423
10,-0.6142291744839286,-0.6142291744839286
10,-0.6445887674925076,-0.6445887674925076
10,-0.6275884343945858,-0.6275884343945858
10,-0.6404644583278531,-0.6404644583278531
10,-0.766175607514755,-0.766175607514755
10,-0.7571097353693859,-0.7571097353693859
10,-0.7916208424288442,-0.7916208424288442
10,-0.7482270468899369,-0.7482270468899369
10,-0.7684022807354633,-0.7684022807354633
10,-0.7183928478343297,-0.7183928478343297
10,-0.7299941372703961,-0.7299941372703961
10,-0.7270866339673173,-0.7270866339673173
10,-0.750116102932595,-0.750116102932595
10,-0.717999701442251,-0.717999701442251
10,-0.7357940423447371,-0.7357940423447371
10,-0.7548389518120338,-0.7548389518120338
10,-0.768044075795866,-0.768044075795866
10,-0.7638264152854635,-0.7638264152854635
10,-0.7885945560148769,-0.7885945560148769
10,-0.7538192809517541,-0.7538192809517541
10,-0.7732911356103295,-0.7732911356103295
10,-0.5758070912052502,-0.5758070912052502
10,-0.5845624718975984,-0.5845624718975984
10,-0.5818314334398775,-0.5818314334398775
10,-0.5936383720368347,-0.5936383720368347
10,-0.5934518961099641,-0.5934518961099641
10,-0.3553878281708912,-0.3553878281708912
10,-0.3286214177121161,-0.3286214177121161
10,-0.3780183989087309,-0.3780183989087309
10,-0.3746888880381151,-0.3746888880381151
10,-0.3771460862883545,-0.3771460862883545
10,-0.4508968167198562,-0.4508968167198562
10,-0.3771034515845621,-0.3771034515845621
10,-0.3886737985480828,-0.3886737985480828
10,-0.4489587014531975,-0.4489587014531975
10,-0.3863008114495014,-0.3863008114495014
10,-0.3876716563188716,-0.3876716563188716
10,-0.4078676584208622,-0.4078676584208622
10,-0.3538825826202632,-0.3538825826202632
10,-0.3601956715505777,-0.3601956715505777
10,-0.3552452016782954,-0.3552452016782954
10,-0.3889935783518375,-0.3889935783518375
10,-0.3926481217012015,-0.3926481217012015
10,-0.3328410336856073,-0.3328410336856073
10,-0.3858088720737094,-0.3858088720737094
10,-0.3753420823337311,-0.3753420823337311
10,-0.375514198929166,-0.375514198929166
10,-0.3902661247296152,-0.3902661247296152
10,-0.3920739386857125,-0.3920739386857125
10,-0.3760000389099602,-0.3760000389099602
10,-0.3908978770235906,-0.3908978770235906
10,-0.3935369887172216,-0.3935369887172216
10,-0.7608079315792009,-0.7608079315792009
10,-0.7637618845287797,-0.7637618845287797
10,-0.7656870363694352,-0.7656870363694352
10,-0.7609504917024092,-0.7609504917024092
10,-0.7601994043850788,-0.7601994043850788
10,-0.7707610122254522,-0.7707610122254522
10,-0.5974443002051618,-0.5974443002051618
10,-0.6012541314528829,-0.6012541314528829
10,-0.6070539587621322,-0.6070539587621322
10,-0.6094078340753818,-0.6094078340753818
10,-0.6105573438059,-0.6105573438059
10,-0.6227777307277861,-0.6227777307277861
10,-0.7230907479428872,-0.7230907479428872
10,-0.7231789863889972,-0.7231789863889972
10,-0.7267986161599894,-0.7267986161599894
10,-0.7237147078551136,-0.7237147078551136
10,-0.7226617947132433,-0.7226617947132433
10,-0.731153578473887,-0.731153578473887
10,-0.7465973446196648,-0.7465973446196648
10,-0.7398248337650881,-0.7398248337650881
10,-0.7502712892378806,-0.7502712892378806
10,-0.7711851159533203,-0.7711851159533203
10,-0.784120958130364,-0.784120958130364
10,-0.7895896896532847,-0.7895896896532847
10,-0.7065748001127738,-0.7065748001127738
10,-0.7041568493101968,-0.7041568493101968
10,-0.7032352504430459,-0.7032352504430459
10,-0.7122119183898122,-0.7122119183898122
10,-0.7072422286674832,-0.7072422286674832
10,-0.710577540521248,-0.710577540521248
10,-0.3456406774609944,-0.3456406774609944
10,-0.3544376172856065,-0.3544376172856065
10,-0.3443203707805846,-0.3443203707805846
10,-0.3421636309970791,-0.3421636309970791
10,-0.3685615668579751,-0.3685615668579751
10,-0.4158500296872215,-0.4158500296872215
10,-0.364506834102367,-0.364506834102367
10,-0.3567391241594964,-0.3567391241594964
10,-0.4116874548386063,-0.4116874548386063
10,-0.3541676844098196,-0.3541676844098196
10,-0.34493862458349,-0.34493862458349
10,-0.6765561723164373,-0.6765561723164373
10,-0.6855572211786071,-0.6855572211786071
10,-0.6828872855620627,-0.6828872855620627
10,-0.6854091434333233,-0.6854091434333233
10,-0.5906875909809417,-0.5906875909809417
10,-0.600951480083031,-0.600951480083031
10,-0.5959620285163687,-0.5959620285163687
10,-0.5981751652132353,-0.5981751652132353
10,-0.5959915176507594,-0.5959915176507594
10,-0.7503271289691226,-0.7503271289691226
10,-0.752814765037538,-0.752814765037538
10,-0.7210358493832273,-0.7210358493832273
10,-0.6123720071644998,-0.6123720071644998
10,-0.6228254830174158,-0.6228254830174158
10,-0.6225009039297065,-0.6225009039297065
10,-0.6400037127215366,-0.6400037127215366
10,-0.7182014992027413,-0.7182014992027413
10,-0.6999257477023576,-0.6999257477023576
10,-0.6984501981853946,-0.6984501981853946
10,-0.6281835323926643,-0.6281835323926643
10,-0.637881243498834,-0.637881243498834
10,-0.6349767717525283,-0.6349767717525283
10,-0.6326878911961175,-0.6326878911961175
10,-0.6373719553762403,-0.6373719553762403
