experiment_id,height,weight
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,181,64.75
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
1,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
2,186,100.5
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
1,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
2,170,100.6
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,173,88.0
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,172,60.85
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
1,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
2,175,83.45
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,187,76.7
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,162,58.45
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
1,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
2,178,74.0
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
1,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
2,183,82.6
3,183,82.6
3,183,82.6
3,183,82.6
3,183,82.6
3,183,82.6
3,183,82.6
3,183,82.6
3,183,82.6
3,183,82.6
3,183,82.6
3,183,82.6
3,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
4,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
5,183,82.6
1,183,70.0
1,183,70.0
1,183,70.0
1,183,70.0
1,183,70.0
1,183,70.0
1,183,70.0
1,183,70.0
1,183,70.0
1,183,70.0
1,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
2,183,70.0
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,163,64.1
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,175,57.7
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,167,57.75
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,180,66.8
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,178,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,171,72.95
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,178,80.0
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
1,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
2,168,60.65
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,163,52.7
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,166,75.15
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,175,62.05
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
1,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
2,176,70.3
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
1,175,66.6
